127.0.0.1 - - [26/Dec/2022:12:40:39 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Dec/2022:12:40:40 +0530] "GET /ORS_Project_4/ HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [26/Dec/2022:12:40:40 +0530] "GET /ORS_Project_4/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2022:12:40:40 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [26/Dec/2022:12:59:49 +0530] "GET /ORS_Project_4/ HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:11:15 +0530] "GET /ORS_Project_4/WelcomeCtl HTTP/1.1" 200 1164
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:11:19 +0530] "GET /ORS_Project_4/LoginCtl HTTP/1.1" 200 2591
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:11:33 +0530] "POST /ORS_Project_4/LoginCtl HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:11:49 +0530] "POST /ORS_Project_4/LoginCtl HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:12:36 +0530] "POST /ORS_Project_4/LoginCtl HTTP/1.1" 200 3055
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:12:54 +0530] "GET /ORS_Project_4/ctl/MarksheetListCtl HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:12:59 +0530] "GET /ORS_Project_4/ctl/MyProfileCtl HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:13:03 +0530] "GET /ORS_Project_4/ctl/ChangePasswordCtl HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:13:06 +0530] "GET /ORS_Project_4/ctl/GetMarksheetCtl HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:14:08 +0530] "GET /ORS_Project_4/ctl/MarksheetListCtl HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:15:13 +0530] "GET /ORS_Project_4/LoginCtl HTTP/1.1" 200 4482
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:15:26 +0530] "POST /ORS_Project_4/LoginCtl HTTP/1.1" 200 3055
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:15:29 +0530] "GET /ORS_Project_4/ctl/MarksheetListCtl HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:17:21 +0530] "GET /ORS_Project_4/ctl/MarksheetCtl HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:21:06 +0530] "GET /ORS_Project_4/ HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:21:37 +0530] "GET /ORS_Project_4/ HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:21:48 +0530] "GET /ORS_Project_4/WelcomeCtl HTTP/1.1" 200 3273
0:0:0:0:0:0:0:1 - - [26/Dec/2022:15:27:35 +0530] "GET /ORS_Project_4/WelcomeCtl HTTP/1.1" 200 1382
0:0:0:0:0:0:0:1 - - [26/Dec/2022:15:27:36 +0530] "GET /ORS_Project_4/img/logo.png HTTP/1.1" 200 20585
0:0:0:0:0:0:0:1 - - [26/Dec/2022:15:27:36 +0530] "GET /favicon.ico HTTP/1.1" 404 720
